ID Empleado,Edad,Género,Antigüedad en la Empresa,Rol de Trabajo,Ingreso Mensual,Balance Trabajo-Vida,Satisfacción del Trabajo,Desempeño,Número de Promociones,Horas Extras,Distancia a Casa,Nivel de Educación,Estado Civil,Número de Dependientes,Nivel de Trabajo,Tamaño de Empresa,Meses desde el último evento,Trabajo Remoto,Oportunidades de Liderazgo,Oportunidades de Innovación,Reputación de la Empresa,Reconocimiento a Empleado,Deserción
6885,48,0,32,1,3535,2,1,2,0,1,48,2,1,0,2,0,84,0,0,0,1,0,0
61864,42,0,1,2,8874,2,1,2,1,0,31,1,0,2,1,1,27,0,0,0,3,3,0
65586,39,0,22,3,5556,2,2,2,0,0,16,1,1,0,1,0,28,0,0,0,2,0,1
15737,37,0,2,2,9293,2,2,1,0,0,55,2,1,0,0,1,54,0,0,1,0,0,0
51448,37,0,6,3,7701,1,2,1,0,1,32,0,1,1,1,0,71,0,1,1,1,0,0
8881,37,0,9,4,8632,1,2,2,2,0,8,3,0,2,2,0,86,1,0,0,3,2,0
17543,45,1,27,0,5315,2,2,2,2,1,74,1,1,4,1,1,70,0,0,1,3,0,0
74472,57,1,23,0,5938,3,3,2,2,1,3,3,0,3,0,0,47,0,0,0,1,1,0
64075,42,1,2,0,6213,1,2,2,0,0,5,2,2,4,1,1,69,0,0,0,1,1,1
24350,56,1,22,0,6605,3,2,1,2,1,47,2,1,2,0,0,74,0,0,0,1,0,0
72189,34,0,12,3,8274,2,3,1,0,1,67,2,2,1,1,0,36,0,0,0,3,0,1
36437,56,0,7,2,9878,2,3,2,2,0,58,3,2,1,1,1,22,0,0,0,1,0,1
26304,25,1,2,4,6690,1,0,3,0,1,14,1,1,2,1,0,25,1,0,0,1,1,0
33177,25,1,3,4,8397,3,2,1,0,1,36,2,1,3,1,1,49,1,0,0,3,0,0
70003,36,0,8,2,9775,1,2,2,1,1,79,2,2,1,0,0,61,0,0,1,1,2,1
30924,55,1,6,4,9355,1,3,2,0,1,44,2,1,3,2,1,64,0,0,1,3,2,1
5254,48,1,18,2,7976,1,2,3,0,1,32,0,2,2,0,1,71,0,0,0,1,1,1
66579,28,1,12,2,10111,1,1,2,2,0,37,0,1,3,0,1,33,0,0,0,1,0,0
54104,26,0,3,3,8673,3,2,2,0,0,64,1,2,1,1,2,57,0,0,1,1,1,1
18361,47,0,22,1,5040,1,3,0,3,1,7,0,1,0,0,0,58,1,0,0,1,0,0
1591,23,1,2,3,7368,1,3,1,0,0,15,3,1,3,2,1,17,0,0,1,1,2,0
27451,52,0,34,0,5154,1,1,2,0,1,16,0,2,2,0,1,83,0,0,0,0,1,1
58305,51,0,16,4,8407,2,3,2,1,0,63,2,2,1,1,1,66,0,0,0,1,0,1
19684,50,0,21,1,4195,2,3,2,2,1,76,2,1,2,1,1,100,1,0,0,1,3,0
9392,45,0,6,1,4451,1,2,2,0,0,81,0,1,2,1,2,65,0,0,0,0,1,0
18598,31,1,11,2,10122,1,2,2,2,0,58,2,1,0,2,1,62,1,0,0,3,0,0
65665,29,0,8,3,7946,0,3,2,0,0,75,1,2,1,0,0,17,0,1,0,3,2,1
23287,48,0,1,2,10135,0,2,0,0,1,13,2,2,3,1,1,72,0,0,0,1,1,1
12556,47,0,24,4,8631,1,3,3,0,0,35,2,1,3,2,0,89,0,0,0,3,0,0
68364,41,1,11,1,4431,0,3,3,0,0,8,1,1,2,2,0,80,0,0,0,2,0,1
31457,53,1,2,1,3598,2,2,2,0,1,98,1,2,1,1,2,69,0,0,1,0,1,1
14169,37,1,2,4,7949,3,1,2,0,0,95,0,1,5,1,2,6,1,0,0,2,0,0
67257,53,1,23,4,8876,1,0,2,2,1,68,0,1,3,1,0,78,0,0,1,1,2,1
52985,45,1,28,0,6628,2,2,2,0,1,56,2,1,3,2,0,30,0,0,0,0,0,1
31826,49,0,9,4,8340,2,2,3,1,0,73,2,2,0,1,2,77,0,0,0,0,0,1
24841,39,0,9,3,8860,2,1,1,0,1,26,2,1,1,0,0,61,0,0,0,0,1,1
7424,58,0,14,2,8683,0,2,2,2,0,34,2,0,0,2,2,87,1,1,1,1,0,0
9870,49,1,2,1,4042,2,2,1,0,0,29,1,0,2,1,0,58,0,0,0,1,2,1
6688,54,0,24,2,9737,0,1,1,0,0,8,2,1,0,1,0,88,1,0,0,0,0,0
3625,38,0,18,1,5246,2,2,3,0,1,84,3,0,2,0,0,20,0,0,0,1,0,1
66157,19,1,1,3,10141,2,2,2,1,0,19,2,2,1,1,2,41,0,0,1,0,1,1
60485,30,0,10,0,5397,3,0,2,1,1,68,2,1,0,1,2,75,0,0,0,3,0,1
13319,47,0,28,4,7063,0,3,1,0,0,62,1,1,0,2,0,49,0,0,1,1,1,0
65739,58,1,40,0,6940,2,2,3,0,0,49,2,1,1,2,2,67,1,0,0,3,1,0
43732,40,0,17,1,4733,0,2,1,1,0,69,4,1,4,1,1,60,0,0,0,2,1,0
45545,35,0,17,4,7625,2,2,3,0,0,26,2,1,0,0,2,31,0,0,0,1,2,0
72101,31,1,2,2,6640,1,1,2,0,0,13,1,0,4,2,2,33,0,0,1,1,2,0
46992,31,0,8,2,7287,3,1,3,2,1,33,3,2,0,1,1,69,0,0,1,2,1,0
54577,40,0,5,4,6993,1,1,2,0,1,57,0,2,0,1,2,75,0,0,0,0,0,1
23371,49,1,22,3,12041,3,2,0,0,0,62,4,2,6,0,1,23,0,0,1,1,0,0
41178,33,1,1,3,6534,1,0,2,1,0,21,3,2,4,1,1,12,0,0,0,1,1,1
17004,52,0,15,4,7529,2,1,2,0,0,61,2,1,5,1,2,34,0,0,0,1,3,0
18068,51,0,12,3,4421,2,2,2,1,0,62,3,2,0,1,0,14,1,0,0,1,2,0
19252,27,1,11,2,9197,2,2,3,0,1,53,0,1,2,2,2,35,0,0,0,1,1,0
65212,58,0,6,4,8762,1,2,3,0,1,72,2,1,0,1,1,38,0,0,0,1,1,1
36263,42,1,7,2,8744,2,1,3,1,1,41,0,2,3,1,1,71,1,0,1,1,1,1
23691,26,0,3,4,7406,2,0,0,3,0,91,1,1,0,1,0,57,1,0,0,3,0,1
20242,37,1,7,0,6099,2,2,3,0,0,19,2,1,0,2,1,16,1,0,0,2,0,0
52881,55,0,13,2,9626,2,2,2,2,0,27,2,2,0,2,1,81,0,0,1,1,2,0
32705,46,1,6,2,10298,1,2,2,0,0,47,2,2,0,1,0,84,0,0,0,0,0,1
71450,41,0,2,2,8972,2,3,2,1,0,76,3,0,1,0,2,72,0,0,1,2,0,1
29475,58,1,14,2,9501,1,1,2,1,1,56,2,2,4,1,2,52,0,0,0,3,1,1
34465,40,1,22,1,4023,3,3,0,0,0,58,3,1,4,1,0,55,0,1,0,1,1,1
42659,46,1,9,1,4237,1,1,2,0,1,36,2,1,1,2,2,20,0,0,0,3,1,1
47934,45,0,9,1,6437,1,2,3,1,0,53,1,1,4,0,0,31,0,0,0,3,1,1
71441,56,0,32,4,6690,3,1,3,1,0,35,0,1,1,1,1,80,0,0,0,0,0,0
38110,48,1,19,2,8761,2,2,1,0,0,75,0,1,3,1,0,90,1,0,0,3,3,0
70639,47,0,24,0,5428,3,0,2,0,1,93,1,0,1,1,0,49,0,0,0,1,1,0
8021,26,1,8,4,7859,2,1,2,4,0,44,0,1,5,2,1,35,0,0,0,1,0,0
28368,21,0,4,2,10298,2,2,2,2,0,28,0,2,0,2,0,53,0,0,0,0,0,1
575,44,0,13,4,7430,2,0,2,1,1,23,1,1,3,0,0,73,0,0,0,1,0,0
49959,24,0,2,1,4573,1,2,3,2,1,37,2,1,0,2,1,62,0,0,0,1,1,0
72401,31,0,13,2,9434,2,3,1,0,0,76,2,1,0,0,0,83,1,0,0,0,0,0
24980,45,1,24,3,4583,3,3,3,2,1,55,1,1,1,0,0,62,0,0,0,1,1,1
4856,59,1,30,2,10166,3,2,2,1,0,32,1,1,1,1,0,37,0,0,0,1,2,1
25774,54,0,2,4,8736,2,3,2,0,1,86,1,2,1,1,1,5,0,0,0,3,0,1
53105,58,1,39,4,6929,1,2,3,0,0,56,1,1,3,1,2,76,0,1,1,3,2,1
40919,21,0,2,4,10167,1,2,3,0,1,54,1,1,2,0,0,65,0,0,0,0,1,1
63135,51,0,16,4,9063,0,3,2,0,0,9,1,2,1,0,1,90,0,0,1,1,0,1
65852,45,1,20,4,8926,3,2,2,4,0,89,0,2,1,2,1,80,1,0,0,1,1,0
71343,29,1,11,3,9306,1,2,2,0,0,51,3,2,2,1,2,45,0,0,0,2,0,1
27498,59,0,43,1,4862,2,0,2,0,0,28,1,1,1,0,1,119,0,0,0,1,2,0
55188,20,0,2,0,6453,3,1,2,0,0,51,1,1,0,1,1,62,0,0,0,1,2,0
43292,50,0,18,2,7359,2,2,3,1,0,67,1,0,2,1,0,63,0,0,0,1,0,1
23689,20,1,3,2,10943,0,2,1,0,0,62,1,2,0,1,0,15,0,0,0,0,1,1
24229,28,0,6,4,6669,2,3,3,0,0,39,4,2,3,0,2,41,0,0,0,3,0,1
26101,36,0,17,2,8309,2,2,2,2,1,24,1,2,0,0,2,89,0,0,0,1,0,0
18495,40,0,4,0,6426,1,2,2,0,0,13,2,1,1,1,0,10,0,0,0,2,1,1
13011,47,0,1,2,8723,2,3,3,2,0,73,0,1,1,2,1,32,0,0,0,0,0,0
36546,52,0,19,1,3625,1,2,2,1,0,54,0,1,2,0,1,32,0,0,0,1,0,0
46298,42,0,26,1,4205,2,2,2,1,0,89,3,2,3,2,0,39,0,0,0,0,2,0
51580,22,0,2,3,6925,3,2,2,1,0,79,1,1,2,2,0,73,1,0,0,0,1,0
36678,56,1,40,2,11556,2,1,2,2,0,1,4,2,2,0,1,66,0,0,0,2,1,0
41684,42,0,10,0,5820,1,3,3,1,1,86,0,2,2,2,1,82,0,0,1,2,2,1
19528,39,0,3,0,5891,2,0,2,2,1,88,0,0,4,0,1,9,0,0,0,1,1,1
18487,28,0,3,0,6185,1,2,2,0,0,51,1,1,0,0,0,62,0,0,1,0,0,1
20960,47,1,13,4,6467,2,2,1,2,0,25,2,0,2,1,0,82,0,0,0,3,2,1
4392,56,1,6,3,6954,2,2,2,1,0,65,2,1,2,1,1,17,1,0,0,1,1,1
6112,51,1,33,2,7647,2,0,2,1,1,6,0,1,1,0,1,44,0,0,0,0,0,1
53019,56,0,38,4,8883,0,0,2,0,0,69,3,0,3,0,0,100,0,0,0,0,0,1
19879,24,0,8,1,5652,2,2,3,0,0,76,0,1,1,2,1,23,0,0,0,0,1,0
63588,26,0,5,3,7376,1,2,2,0,0,70,2,1,1,2,2,33,0,0,1,3,0,1
58518,52,0,26,2,7306,2,0,2,0,1,19,0,2,3,1,1,35,1,0,0,0,0,0
1127,45,0,6,2,11421,0,2,2,1,0,18,2,0,4,0,1,27,1,0,1,1,0,0
37737,51,0,10,1,3755,2,2,2,0,0,61,0,0,0,1,0,26,0,0,0,1,1,1
8386,51,0,22,0,5405,3,1,2,1,0,57,3,1,3,1,1,27,0,0,0,0,1,0
45849,59,0,32,1,4113,3,2,3,0,1,48,3,2,3,1,0,82,0,0,0,1,0,1
37320,58,0,2,0,6363,1,2,2,2,0,19,0,1,2,0,2,27,0,0,0,3,1,0
3777,45,1,10,0,5475,2,2,2,0,0,99,0,1,0,0,0,26,0,0,0,1,1,0
62193,38,1,7,0,6160,2,2,2,2,0,53,2,1,4,1,0,24,0,0,0,1,2,0
50742,29,0,9,0,6336,1,2,1,1,0,95,2,1,3,1,0,79,0,0,1,3,0,1
51389,38,0,14,0,5733,3,3,2,1,0,12,2,1,2,0,0,62,0,0,0,3,2,0
48390,51,1,16,2,8988,2,2,1,1,1,94,0,1,1,1,1,36,0,0,0,1,2,0
27698,38,1,22,0,5744,2,3,3,1,0,95,1,1,3,1,0,62,0,0,0,3,0,1
35432,46,1,14,3,6555,3,2,2,0,0,4,3,2,0,0,1,92,1,0,0,1,0,0
59888,53,0,23,2,7633,2,3,2,0,0,44,2,0,2,0,0,91,0,0,0,0,3,1
46731,28,0,4,2,9892,2,1,3,2,0,9,1,2,4,1,0,20,0,0,0,1,3,1
5437,34,0,6,2,10220,2,0,1,1,1,97,1,2,1,1,1,41,1,0,0,1,3,1
38452,33,0,12,1,2386,0,1,2,1,1,73,2,1,0,0,0,64,0,0,0,1,2,1
13298,52,0,19,0,6139,1,3,2,2,0,68,3,0,0,1,1,92,0,0,0,3,0,1
21924,46,0,17,2,6977,3,2,2,0,0,8,1,1,0,0,0,74,0,0,0,0,3,0
2631,59,0,40,4,8328,2,3,3,0,0,46,1,2,0,1,1,44,0,0,1,3,0,1
63053,48,1,31,2,11164,2,1,2,3,0,72,0,2,1,0,0,74,0,0,0,3,0,1
10997,57,0,18,2,8580,1,1,1,1,0,84,2,2,3,1,0,60,1,0,0,0,1,0
48313,50,0,30,4,8113,1,2,3,0,0,19,0,2,0,2,0,78,0,0,0,1,0,0
48664,28,0,6,2,8571,0,1,1,0,0,35,1,1,2,1,1,55,0,0,0,1,2,1
33249,47,1,16,2,9128,2,2,3,1,0,90,4,0,3,2,1,17,0,0,0,1,2,0
25555,31,1,14,2,8143,2,3,2,1,1,54,1,2,0,2,1,77,0,0,0,1,1,1
67005,26,0,5,4,8268,2,1,2,4,0,6,3,2,4,0,2,53,0,0,0,2,1,0
32739,51,0,28,4,7345,1,2,2,1,0,43,0,2,0,1,0,29,0,0,0,3,0,1
39770,55,0,8,3,12985,1,3,1,2,0,41,3,1,4,0,0,22,0,0,0,0,0,1
11760,33,0,16,0,5629,1,2,1,0,0,15,2,2,1,2,0,46,0,0,0,0,0,1
10728,27,0,9,3,9279,2,2,2,2,0,69,0,1,1,0,0,36,0,0,0,1,3,0
61041,41,0,21,3,7838,2,2,2,2,1,99,1,0,3,1,2,69,0,0,0,3,2,1
44027,27,1,2,0,5196,3,3,1,1,0,75,2,1,1,0,2,18,0,0,0,3,0,1
44324,22,1,2,4,8184,3,2,1,1,0,98,2,2,6,1,1,79,1,0,0,2,1,1
36084,36,1,9,4,9055,3,2,2,0,0,61,2,0,4,0,2,24,1,0,1,1,1,0
10766,34,0,10,3,8721,3,0,2,0,0,76,1,1,0,1,2,11,1,0,0,1,0,0
69113,38,0,14,0,4496,2,2,2,3,1,76,2,1,0,1,1,86,0,0,1,3,0,1
23154,42,1,6,4,7741,3,2,2,0,0,4,3,0,3,1,1,28,0,0,0,1,2,0
11408,32,1,6,0,5879,2,2,1,0,0,47,4,1,2,2,0,72,1,0,0,1,1,0
41895,48,1,15,2,6837,1,2,2,0,0,36,2,2,0,0,0,70,0,0,0,3,1,0
31692,43,0,27,1,3536,2,1,2,0,0,48,1,2,3,1,0,85,1,0,0,2,0,0
2806,55,0,33,1,4831,2,2,0,0,1,63,0,1,5,2,1,50,0,0,0,3,1,1
37357,59,0,30,1,5520,0,3,2,0,0,50,2,2,0,0,0,58,0,0,0,1,2,1
49333,40,1,12,4,8482,1,2,2,1,0,18,3,0,1,1,2,46,0,0,0,3,1,1
29892,22,1,1,0,6326,2,2,2,0,0,2,2,1,4,1,0,79,0,0,0,1,1,0
66517,58,1,17,1,4952,2,2,3,2,0,49,2,2,1,0,1,28,0,0,0,2,1,1
66253,39,0,13,4,8976,2,2,1,4,0,82,3,0,0,1,0,25,0,0,0,1,1,0
17365,36,0,13,0,6389,2,2,2,1,1,87,2,1,5,0,2,64,0,0,0,1,1,0
65545,45,0,15,4,7730,0,3,3,0,0,81,3,1,2,1,0,76,1,0,0,3,1,0
26339,32,1,13,1,3951,0,2,2,0,0,56,4,2,2,0,0,82,0,0,0,1,0,1
47491,33,1,11,2,9415,1,2,3,2,1,97,2,2,2,2,2,46,0,0,0,0,1,0
69251,43,0,20,2,10994,2,1,2,2,0,7,4,2,3,1,0,24,0,0,0,0,0,0
41371,32,1,11,2,9305,1,2,1,0,1,35,2,2,3,1,2,67,0,0,0,2,0,1
28119,37,0,12,3,11806,0,2,2,2,0,50,1,1,4,1,1,76,0,0,0,1,0,0
46811,30,0,7,2,6279,2,2,2,2,1,90,1,2,2,1,0,48,0,0,0,3,1,1
33046,40,0,11,2,10512,1,3,3,0,0,74,1,1,2,2,2,66,0,0,0,1,2,0
37344,55,0,5,0,5788,1,1,2,0,0,63,3,0,1,2,0,13,0,0,0,3,2,0
32903,25,1,7,1,4811,2,2,2,0,0,79,1,0,2,0,1,38,0,0,1,3,2,1
18339,50,0,14,2,9495,2,1,2,2,1,96,1,2,0,1,0,23,1,0,0,1,1,1
53500,58,0,4,2,8151,2,2,2,0,0,15,0,1,1,0,1,8,1,0,0,1,0,0
34214,55,0,2,1,3553,1,3,2,0,1,59,2,2,2,1,1,28,0,0,0,1,2,1
44909,44,0,1,1,3288,3,1,2,0,0,10,4,1,4,0,0,38,0,0,0,3,0,0
34195,59,0,16,4,8392,1,1,2,1,0,17,3,1,0,0,0,26,0,0,0,1,3,0
51855,33,1,3,1,3815,3,0,3,1,0,6,2,1,0,2,1,14,1,0,0,1,0,0
21420,34,1,18,1,4328,3,2,2,0,0,20,2,2,3,0,1,57,0,0,0,0,2,1
54830,43,1,23,3,6952,0,3,3,4,1,24,0,2,0,0,0,61,1,0,1,0,3,0
41286,40,0,18,0,6369,2,1,2,1,0,98,1,1,2,0,0,45,1,0,0,1,0,0
21565,22,0,1,4,8756,0,2,3,1,1,55,2,2,4,1,0,23,0,0,0,1,0,1
51355,58,0,9,2,5532,2,2,2,1,1,4,2,0,1,0,0,19,1,0,0,1,1,0
38941,55,0,34,2,8673,1,2,2,2,0,97,2,2,0,0,2,86,0,0,0,3,0,1
69899,38,1,14,1,3891,3,0,2,2,1,82,2,1,3,0,0,75,1,0,0,1,0,0
4017,23,0,2,4,8081,3,1,3,0,0,81,1,1,0,2,0,52,0,0,0,1,2,0
17833,29,0,7,3,6932,1,1,3,3,0,44,0,1,1,2,0,17,1,0,0,1,2,0
16312,57,1,14,1,5795,2,2,3,3,0,3,1,1,6,2,0,83,0,0,1,0,1,0
29564,42,0,6,2,8405,2,2,2,1,0,55,3,2,1,0,0,8,0,0,0,3,2,1
29598,37,1,9,2,10730,2,2,2,1,0,21,3,1,0,0,1,36,0,0,0,3,0,0
3232,28,0,7,3,7655,1,2,2,3,0,30,1,2,2,0,1,14,0,1,0,2,1,0
35125,48,0,10,3,7049,1,1,3,1,0,38,3,2,0,2,1,31,0,0,0,0,2,0
57726,40,1,8,1,3752,2,1,2,0,1,78,1,0,0,0,1,73,0,0,0,1,0,1
1504,46,0,12,3,7931,1,2,2,0,1,4,2,1,3,0,0,54,0,0,0,2,1,0
25430,47,0,1,2,9605,2,2,2,0,0,69,0,2,0,2,2,16,0,0,0,0,2,1
30097,38,0,2,1,4098,2,1,2,2,0,77,0,0,0,0,0,15,0,0,0,2,1,1
18057,38,0,14,1,6299,2,1,2,2,0,53,2,2,0,2,0,63,0,0,0,1,0,0
50515,59,0,15,1,5154,3,2,2,0,0,49,4,0,0,2,0,49,0,0,1,3,3,0
25446,39,0,11,1,5802,1,3,2,0,1,17,2,1,1,1,0,73,0,1,1,0,1,0
20659,32,1,16,1,5329,3,2,3,0,1,7,2,1,1,0,1,49,0,0,1,2,0,0
62366,34,0,2,3,11093,2,0,3,0,1,17,1,1,1,2,0,66,0,0,0,1,0,1
29186,24,1,1,4,7256,0,2,2,2,0,11,0,1,0,0,1,61,0,0,0,0,2,1
40241,31,1,3,2,9216,2,2,2,0,1,98,3,1,4,1,0,43,0,0,0,0,2,1
31345,44,1,4,3,11515,2,0,2,0,0,53,1,1,0,2,2,54,0,0,0,1,0,0
1619,37,0,8,2,7512,1,2,2,0,0,50,2,2,0,2,1,55,0,0,0,1,0,0
44300,47,1,4,2,8766,3,1,2,1,0,10,0,2,0,2,2,70,0,0,1,1,0,0
54879,42,0,11,0,5415,2,1,2,0,0,9,0,1,3,1,2,52,1,0,0,0,1,0
45188,48,1,18,2,8762,1,3,2,0,0,54,2,2,4,1,1,47,0,0,0,1,2,1
22927,49,1,29,1,4453,3,1,1,0,1,87,1,1,4,0,2,53,0,0,0,0,2,0
11681,42,0,26,0,5890,3,3,2,2,0,7,2,1,0,1,1,101,0,0,0,1,2,0
65606,39,1,6,2,9452,2,2,2,1,1,65,3,1,1,1,0,8,0,0,1,1,2,0
29104,38,0,15,3,6841,1,0,2,0,0,82,1,1,2,0,2,47,0,0,0,1,2,1
65550,31,0,10,3,8351,1,2,2,0,0,53,2,1,2,1,2,28,0,0,0,1,1,0
59722,29,0,4,4,7419,1,3,2,0,0,5,1,1,1,0,0,46,0,0,0,0,0,1
58351,26,1,3,4,7321,2,2,2,2,1,41,0,1,3,0,1,77,0,0,0,1,2,0
63606,29,0,12,2,11368,1,1,2,3,0,13,3,1,2,2,0,43,0,0,0,3,0,0
9831,21,0,3,4,9090,0,2,2,0,0,44,2,2,1,2,1,52,0,0,1,1,1,1
5107,47,0,19,4,7557,2,3,1,0,0,29,3,1,0,2,0,79,0,0,0,1,0,0
48442,44,0,17,4,7852,2,1,2,0,0,14,1,1,0,0,0,31,1,0,0,1,1,0
62576,24,1,6,2,7795,0,2,3,2,1,32,0,1,1,1,2,72,0,0,0,0,0,0
37299,50,1,33,2,10508,2,2,2,0,1,12,2,2,4,2,1,75,0,0,0,3,0,0
6749,24,1,4,0,5353,1,3,2,2,0,64,4,2,4,1,1,7,0,0,1,0,0,1
23244,31,1,10,4,8528,2,3,3,2,0,31,1,2,1,0,0,82,0,0,0,2,3,1
27020,35,1,4,2,10228,0,2,2,0,0,49,0,2,1,0,0,11,0,0,0,0,0,1
4388,53,0,15,1,4918,2,2,2,1,1,69,1,1,4,0,0,45,0,0,0,1,0,1
68838,24,1,7,0,6606,3,2,2,1,0,83,3,1,0,2,0,13,0,0,0,1,1,0
70466,38,0,8,4,7973,1,2,0,0,1,38,3,1,0,0,0,21,0,0,0,1,2,1
50747,31,1,15,3,7622,1,3,2,0,0,98,1,1,0,1,0,69,1,0,0,0,0,1
8417,48,0,13,4,7175,0,2,1,0,0,75,1,1,2,0,0,29,0,0,0,0,0,1
72017,37,1,11,0,5869,3,1,3,0,0,96,1,1,0,1,2,42,0,0,0,1,0,0
57636,44,1,18,4,8077,1,3,3,1,1,23,2,2,2,1,1,50,1,0,0,1,0,1
37679,51,0,30,4,7340,3,3,2,1,0,21,2,1,4,2,0,84,0,0,0,3,2,0
28826,23,1,5,2,7990,3,2,3,1,0,44,2,2,0,2,0,66,1,0,1,1,0,0
1671,58,0,2,2,8080,0,3,2,0,0,85,2,1,0,0,1,15,0,0,0,1,2,1
53940,24,1,3,2,8904,0,2,2,1,0,67,1,0,4,0,1,73,1,0,0,1,1,0
34958,34,0,11,4,9518,1,2,2,0,0,99,2,1,2,2,0,75,1,0,0,1,1,0
34421,57,0,37,4,6831,3,3,1,0,0,78,0,1,3,1,0,93,0,0,1,1,1,1
52120,53,0,28,1,5721,2,2,2,0,0,14,4,1,3,0,2,84,0,0,0,3,2,0
71167,24,0,1,0,6062,1,3,3,0,1,11,3,0,3,1,0,45,0,0,0,1,2,1
4566,48,0,4,1,4571,0,2,0,4,0,29,0,1,4,2,0,25,0,0,1,0,0,0
73165,42,0,5,0,5704,1,1,3,2,1,92,0,1,3,1,1,11,0,0,0,1,3,1
22380,54,0,2,3,7114,1,3,2,1,0,26,1,1,1,0,0,28,0,0,0,3,0,1
37553,25,1,5,3,9146,3,1,2,1,0,75,1,0,0,0,2,25,0,0,0,1,0,0
55874,31,1,2,2,9197,1,2,1,0,0,40,1,2,0,0,0,75,0,0,0,1,0,1
47635,25,0,3,2,8882,1,3,2,1,0,13,2,1,1,1,2,52,1,0,0,0,2,1
49049,49,0,14,1,3828,1,2,3,0,0,61,1,2,3,1,0,52,1,0,0,2,0,1
53280,32,1,12,1,4506,2,2,3,1,1,61,0,2,1,0,1,75,0,0,0,2,2,1
34591,57,0,38,2,8455,2,2,2,0,0,26,4,1,0,0,1,48,0,1,0,1,2,0
3983,43,1,20,3,8848,2,2,2,1,0,26,3,2,0,1,0,92,0,0,0,0,2,1
73796,27,1,11,3,9454,0,3,1,2,0,47,0,2,0,1,0,33,0,0,1,1,2,1
52870,42,0,9,4,8592,2,1,2,0,1,55,0,2,0,1,0,80,0,0,0,3,1,1
65694,36,1,7,1,2075,2,2,1,2,1,82,2,2,3,0,1,9,0,0,0,1,2,1
61008,38,1,3,1,3775,3,3,2,0,0,34,1,2,1,0,2,21,0,0,0,0,2,0
29773,33,0,7,2,10114,1,2,3,0,0,53,4,0,1,1,0,14,0,0,0,1,0,1
29910,39,0,10,0,6612,1,1,1,3,0,51,1,1,1,0,2,21,0,0,0,1,1,1
49862,23,1,1,4,6623,1,2,2,0,0,38,1,1,0,2,1,54,0,0,1,3,1,1
46795,52,1,17,3,6507,1,2,2,0,1,27,1,2,1,1,1,37,0,0,0,1,0,1
44795,53,0,15,2,9512,1,1,2,1,1,50,1,0,0,1,2,42,0,0,0,1,1,1
32775,59,1,36,1,4113,0,2,3,0,1,48,0,1,4,0,0,41,0,0,1,0,1,1
52838,22,1,4,3,6795,2,2,2,0,0,59,1,1,4,1,0,79,0,0,0,2,0,0
41695,22,0,2,0,6093,1,2,2,1,1,26,3,0,3,1,0,44,0,0,0,1,2,0
40596,34,0,13,3,9017,1,2,3,1,0,27,2,2,2,0,2,86,0,0,0,3,0,0
19737,40,1,22,2,9203,2,1,2,2,0,70,3,1,1,0,2,44,1,0,0,3,2,0
62731,28,1,1,4,9910,3,2,2,0,1,3,3,2,2,0,1,76,0,0,0,0,0,1
38308,47,0,25,0,5673,1,2,0,2,1,76,3,0,2,0,2,91,1,0,0,2,0,1
71715,56,1,31,0,4968,2,3,2,1,0,28,2,1,4,0,1,98,0,0,0,1,2,0
